title,source,label
옥시 불매운동 ‘시즌 2’,http://www.seoul.co.kr/news/newsView.php?id=20170310011009,bad
[바람개비]버저비터,http://news.donga.com/3/all/20190514/95507204/1,notbad
"['초등 돌봄' 6일 경고파업] ""돌봄전담사도 교사도 아이들 외면한 것""",http://www.naeil.com/news_view/?id_art=366888,bad
"안희정 아들, 김지은에게 전화···""잘못 누른 실수""",https://www.joongang.co.kr/article/22503106,bad
안중근 영정 앞 허리숙인 日 인사들,http://news.kmib.co.kr/article/view.asp?arcid=0013175099&code=61211311&cp=kd,notbad
가족들 없이 해군 부사관후보생 임관식… SNS로 중계,https://www.donga.com/news/article/all/20200829/102697148/1,notbad
"‘여신강림’ 문가영-차은우, 핑크빛 비밀 연애 시작",http://news.kmib.co.kr/article/view.asp?arcid=0015427043&code=61181111&cp=kd,notbad
[e글중심] “교육부에는 계획이 없었다”,https://www.joongang.co.kr/article/23746947,notbad
SKT “현실·가상세계 동시 만나는 ‘AR 글라스’ 잡아라”,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201809042136025&code=930301,notbad
"김재원 ""4+1협의체는 세금 떼도둑… 예산안 협조하는 기재부 간부 고발""",http://news.chosun.com/site/data/html_dir/2019/12/09/2019120900085.html?utm_source=bigkinds&utm_medium=original&utm_campaign=news,bad
"이재웅 쏘카 대표 ""역사적으로 늘 혁신이 이겼다""",https://biz.chosun.com/site/data/html_dir/2019/11/22/2019112202896.html?utm_source=bigkinds&utm_medium=original&utm_campaign=biz,notbad
코너 몰린 볼리비아 대통령 “재선거 수용”,http://www.donga.com/news/article/all/20191111/98297203/1,bad
"[2018 러시아월드컵] “한국 16강 확률 18.3%”…최약체 오명, 1승으로 넘어서라",http://www.seoul.co.kr/news/newsView.php?id=20171204006003,notbad
"[시론] 다중위기 시대, 문명대전환 계기로/심광현 평론가·한국예술종합학교 교수",http://www.seoul.co.kr/news/newsView.php?id=20200331031012,notbad
교보생명 하반기 기업공개 ‘빨간불’,http://www.seoul.co.kr/news/newsView.php?id=20190319020021,notbad
"홍콩 언론 ""마오쩌둥 손자 사망설, 사실 아니다""",http://news.chosun.com/site/data/html_dir/2018/05/02/2018050202779.html?utm_source=bigkinds&utm_medium=original&utm_campaign=news,notbad
"작년 총선자금 2억 불법 수수 혐의, 한국당 엄용수 의원 불구속 기소",https://www.donga.com/news/article/all/20171212/87685603/1,bad
"'섬총사' 거미 ""밥 먹지 않는다…살 많이 찌는 체질""",http://www.segye.com/content/html/2017/10/03/20171003001038.html,notbad
윤홍근 BBQ 회장 “이 XX야 폐업시켜”…가맹점에 폭언 등 ‘갑질’ 논란,http://www.seoul.co.kr/news/newsView.php?id=20171114500006,bad
美 민주 ‘의회난입참사 조사위’ 설치… 트럼프 공직 박탈 수순?,http://www.seoul.co.kr/news/newsView.php?id=20210216500082,bad
교내 경비원ㆍ미화원 위해 감사 파티 한 부산대 학생들,https://www.joongang.co.kr/article/20757854,notbad
[포토]추신수 2G 연속 안타 시작이 좋아!,http://www.seoul.co.kr/news/newsView.php?id=20170405500068,notbad
대구 수능 만점 3명… 운암고서 재학생 만점자 나와,http://www.segye.com/content/html/2017/12/12/20171212003866.html,notbad
[코스닥] 엠플러스 미확정된 사안으로 현저한 시황변동,http://news.kmib.co.kr/article/view.asp?arcid=0014883632&code=61141211&cp=kd,notbad
"금태섭 “김어준 방송, 편향성 해악” VS 우상호 “화풀이에 실망”",http://www.segye.com/content/html/2021/01/01/20210101500748.html,bad
냉동만두 하나로 한해 1조원 눈앞…“외국인 입맛 사로잡았죠”,http://www.hani.co.kr/arti/economy/consumer/974047.html,notbad
"김부겸, 정세균과 당권 도전 논의 사실 아냐",http://www.seoul.co.kr/news/newsView.php?id=20200604500133,notbad
부산지역 장애인 전용 ‘나래버스’ 개통식,http://news.donga.com/3/all/20190130/93938817/1,notbad
사탐 복불복 난이도… 윤리와사상 만점자 15% 경제는 0.7%,http://news.chosun.com/site/data/html_dir/2019/12/04/2019120400277.html?utm_source=bigkinds&utm_medium=original&utm_campaign=news,notbad
정의용 “북미정상회담 99.9% 성사된 것…한미 정상 간 짜인 각본 전혀 없어”,http://news.donga.com/3/all/20180522/90190727/2,notbad
